product_id,product_category,product_price,product_manufacturing_date,product_expiry_date
P001,Electronics,299.99,15-01-2024,15-01-2026
P002,Food,12.5,01-11-2024,15-12-2024
P003,Clothing,45,20-06-2024,20-06-2026
P004,Electronics,899.99,10-03-2024,10-03-2027
P005,Food,8.75,15-11-2024,30-12-2024
P006,Home & Kitchen,67.5,25-05-2024,25-05-2029
P007,Electronics,1299.99,14-02-2024,14-02-2026
P008,Food,15.99,20-11-2024,20-01-2025
P009,Clothing,89.99,30-07-2024,30-07-2026
P010,Home & Kitchen,34.99,12-08-2024,12-08-2028
P011,Electronics,549,18-04-2024,18-04-2026
P012,Food,6.25,25-11-2024,25-12-2024
P013,Clothing,120,05-09-2024,05-09-2026
P014,Food,22.5,10-11-2024,10-02-2025
P015,Electronics,199.99,30-01-2024,30-01-2026
P016,Home & Kitchen,89,15-10-2024,15-10-2029
P017,Clothing,55.5,08-06-2024,08-06-2026
P018,Food,18.99,28-11-2024,28-01-2025
P019,Electronics,399.99,22-05-2024,22-05-2026
P020,Home & Kitchen,125,19-07-2024,19-07-2028
